Отдел №1 ГУВД г.Владикавказ;43.0406235;44.6711813
Отделение связи №362031;43.0525047;44.6536800
Монумент «Дружба народов»;43.0521035;44.6547776
Дарьял;43.0494234;44.6558994
Адамс;43.0338341;44.6658654
Памятник Коста Хетагурову;43.0324042;44.6690244
50 лет Октября;43.0514220;44.6535872
50 лет Октября;43.0520373;44.6530070
М.Ю.Лермонтову;43.0402546;44.6645565
Ирикау;43.0480713;44.6714493
Чапаевский;43.0467495;44.6686053
Колонка;43.1016359;44.6349924
Связь банк;43.0356751;44.6844473
Fishka;43.0454838;44.6595320
Наш дом;43.0493588;44.6717888
Аптека №69;43.0498762;44.6717839
ТЭЦ;43.0461900;44.6894506
Газпром;43.0527274;44.6918126
Старый замок;43.0322164;44.6960292
АМС Промышленного МО;43.0410078;44.6704783
торговый дом Феликс;43.0410894;44.6607254
Как Дома;43.0358364;44.6672260
Яр;43.0372760;44.6664317
Роснефть;43.0382216;44.6709532
Шаг;43.0462596;44.6654198
Школа №6;43.0415503;44.6836201
Рубин;43.0385131;44.6627251
АВ-2;43.0365919;44.6974694
ГГАУ;43.0348675;44.6790237
Гостиница Камелия-В;43.0434143;44.6574661
Детский сад №40;43.0365327;44.6875183
ЖДВ;43.0377376;44.6874257
Кафе «Фыджынта»;43.0339133;44.6656319
Клуб "Пирамида";43.0319528;44.6840287
Минимаркет Чапаевский;43.0467246;44.6685592
Онкодиспансер;43.0386164;44.6712637
Осетинский театр;43.0317208;44.6670591
площадь Победы;43.0430730;44.6593259
Планетарий;43.0339637;44.6750524
ост. Поликлиника №5;43.0463272;44.6540379
Рынок "Центральный";43.0343358;44.6897370
СОШ №11;43.0415656;44.6734263
торговый дом Пассаж;43.0318559;44.6839195
торговый центр Элит;43.0332475;44.6702836
торговый центр Элит;43.0334653;44.6703715
Церковь;43.0456010;44.6725490
дом культуры Металлург;43.0498850;44.6671742
кинотеатр Дружба;43.0320170;44.6894193
магород Домир;43.0358593;44.6865440
магород Ног растаг;43.0352895;44.6828952
магород Чайка;43.0445891;44.6591302
магород Минеральные воды;43.0437756;44.6592622
пл.Воссоединения;43.0522067;44.6533834
Налоговая;43.0543016;44.6560228
магород Черемушки;43.0542399;44.6559206
Планетарий;43.0340934;44.6749649
АВ-2;43.0366548;44.6976778
Юность;43.0355883;44.6549350
Школа №26;43.0385713;44.6618965
АТЭЙ;43.0451927;44.6630806
22 км;43.0440896;44.6823209
Банкомат;43.0331253;44.6836138
ДНК;43.0403714;44.6621281
Детский магазин;43.0402349;44.6621966
Кассы Аэрофлота;43.0400768;44.6622975
СтоматологиЯ;43.0424504;44.6605462
Упаковка;43.0414877;44.6615173
Феликс;43.0404668;44.6606968
Городская библиотека для слепых;43.0417841;44.6613355
гимназия №16;43.0457744;44.6537081
гимназия №16;43.0459858;44.6536412
Школа №33;43.0485945;44.6534849
Школа №33;43.0486877;44.6537016
Дворец Металлургов;43.0495493;44.6676346
Дворец Металлургов;43.0499263;44.6674457
Ж/Д вокзал;43.0379001;44.6870861
Ж/Д вокзал;43.0379066;44.6871874
пл.Победы;43.0437972;44.6592084
школа №26;43.0384820;44.6627110
школа №26;43.0389699;44.6622132
Авицена;43.0354378;44.6830546
Hookah base;43.0340364;44.6809026
Камелия В;43.0433620;44.6576953
Зефир;43.0333956;44.6814003
